gameId,playId,playDesc
58840,1922,"(1:17) (Shotgun) PENALTY on CLV-2-A.Cooper, False Start, 5 yards, enforced at CLV 42 - No Play."
58840,1945,"(1:17) (Shotgun) 7-J.Brissett pass short left to 27-K.Hunt to CAR 39 for 24 yards (95-D.Brown). PENALTY on CAR-25-X.Woods, Low Block, 15 yards, enforced at CAR 39."
58840,2147,"3-C.York kicks 65 yards from CLV 35 to end zone, Touchback. PENALTY on CLV-29-H.Miller, Illegal Formation, 5 yards, enforced at CLV 35 - No Play."
58840,2522,"(8:51) PENALTY on CLV, Delay of Game, 5 yards, enforced at CAR 11 - No Play."
58840,2650,"(6:59) 6-B.Mayfield pass incomplete short right to 3-R.Anderson. PENALTY on CLV-23-M.Emerson, Defensive Pass Interference, 6 yards, enforced at CAR 22 - No Play."
58840,2856,"(2:59) (Run formation) PENALTY on CLV, Delay of Game, 5 yards, enforced at CLV 41 - No Play."
58840,3510,"(6:02) 7-J.Brissett pass short right to 85-D.Njoku to CLV 30 for 5 yards (57-D.Wilson). PENALTY on CLV-66-J.Hudson, Ineligible Downfield Pass, 5 yards, enforced at CLV 25 - No Play."
58840,3636,"(2:42) 7-J.Brissett pass incomplete deep right to 2-A.Cooper. PENALTY on CAR-8-J.Horn, Defensive Holding, 5 yards, enforced at CLV 38 - No Play."
58840,3862,"(1:36) (No Huddle, Shotgun) 6-B.Mayfield pass short right to 22-C.McCaffrey to CLV 29 for 21 yards (43-J.Johnson). PENALTY on CLV-43-J.Johnson, Horse Collar Tackle, 15 yards, enforced at CLV 29."
58840,4046,"(1:13) (Shotgun) 7-J.Brissett pass incomplete short left to 11-D.Peoples-Jones. PENALTY on CAR-53-B.Burns, Roughing the Passer, 15 yards, enforced at CLV 25 - No Play."
58841,166,"(12:54) (Shotgun) PENALTY on SF-25-E.Mitchell, False Start, 5 yards, enforced at 50 - No Play."
58841,614,"(5:12) 18-M.Wishnowsky punts 32 yards to CHI 3, Center-46-T.Pepper, downed by SF-33-T.Moore. PENALTY on SF-46-T.Pepper, Ineligible Downfield Kick, 5 yards, enforced at CHI 35 - No Play."
58841,719,"(4:19) (Shotgun) 1-J.Fields left end to CHI 15 for -1 yards (29-T.Hufanga). PENALTY on SF-57-D.Greenlaw, Unnecessary Roughness, 15 yards, enforced at CHI 15."
58841,840,"(2:19) (Punt formation) PENALTY on CHI-50-S.Weatherford, False Start, 5 yards, enforced at CHI 26 - No Play."
58841,1242,"(11:00) (Shotgun) PENALTY on CHI-93-Ju.Jones, Neutral Zone Infraction, 4 yards, enforced at CHI 8 - No Play."
58841,1517,"(7:26) (Shotgun) 5-T.Lance pass short left to 11-B.Aiyuk ran ob at SF 45 for 14 yards. PENALTY on SF-11-B.Aiyuk, Offensive Pass Interference, 10 yards, enforced at SF 31 - No Play."
58841,1747,"(3:41) (Shotgun) 1-J.Fields to CHI 30 for -5 yards. FUMBLES, and recovers at CHI 30. 1-J.Fields pass incomplete short right [97-N.Bosa]. PENALTY on SF-90-K.Givens, Defensive Offside, 5 yards, enforced at CHI 35 - No Play."
58841,2014,"(:32) (Field Goal formation) PENALTY on CHI-16-T.Gill, Unsportsmanlike Conduct, 15 yards, enforced at SF 29 - No Play."
58841,2556,"(6:54) (Shotgun) 32-D.Montgomery left guard to CHI 34 for no gain (31-T.Gipson). PENALTY on SF-57-D.Greenlaw, Face Mask, 15 yards, enforced at CHI 34 - No Play."
