gameId,playId,playDesc
58854,391,"(7:40) (Shotgun) 10-J.Herbert pass incomplete short left to 5-J.Palmer [8-C.Dunlap]. PENALTY on KC-27-R.Fenton, Defensive Pass Interference, 8 yards, enforced at KC 29 - No Play."
58854,741,"(:47) 10-J.Herbert pass deep left to 81-M.Williams to KC 1 for 39 yards (27-R.Fenton). Penalty on KC-27-R.Fenton, Defensive Pass Interference, declined. Penalty on KC-27-R.Fenton, Defensive Holding, declined."
58854,944,"(13:38) (Shotgun) 15-P.Mahomes pass deep right intended for 11-M.Valdes-Scantling INTERCEPTED by 24-N.Adderley [98-A.Johnson] at LAC 7. 24-N.Adderley ran ob at LAC 34 for 27 yards (87-T.Kelce). PENALTY on LAC-23-B.Callahan, Illegal Contact, 5 yards, enforced at LAC 39 - No Play."
58854,1041,"(12:10) (Shotgun) 15-P.Mahomes pass short left to 87-T.Kelce to LAC 9 for 19 yards (24-N.Adderley; 26-A.Samuel). Penalty on LAC-97-J.Bosa, Defensive Offside, declined."
58854,1117,"PENALTY on KC, Delay of Kickoff, 5 yards, enforced at KC 35 - No Play."
58854,1660,"(:53) (Shotgun) 15-P.Mahomes pass incomplete short right to 25-C.Edwards-Helaire [97-J.Bosa]. PENALTY on KC-77-A.Wylie, Offensive Holding, 6 yards, enforced at KC 13 - No Play."
58854,2123,"(9:52) (Shotgun) 15-P.Mahomes pass incomplete deep left to 17-M.Hardman [98-A.Johnson]. Penalty on KC-57-O.Brown, Offensive Holding, offsetting, enforced at KC 25 - No Play. Penalty on LAC-24-N.Adderley, Defensive Pass Interference, offsetting."
58854,2755,"(2:28) (Shotgun) PENALTY on KC, Delay of Game, 5 yards, enforced at LAC 25 - No Play."
58854,2936,"19-M.Ammendola kicks 65 yards from KC 35 to end zone, Touchback. PENALTY on KC-6-B.Cook, Unnecessary Roughness, 15 yards, enforced at LAC 25."
58854,3266,"(8:28) (Punt formation) PENALTY on LAC-47-J.Harris, False Start, 5 yards, enforced at LAC 31 - No Play."
58854,3293,"(8:28) 16-J.Scott punts 44 yards to KC 30, Center-47-J.Harris. 24-S.Moore pushed ob at KC 34 for 4 yards (94-C.Rumph; 47-J.Harris). PENALTY on KC-6-B.Cook, Unnecessary Roughness, 15 yards, enforced at KC 30."
58854,3626,"(3:55) 25-C.Edwards-Helaire right end to LAC 33 for 52 yards (24-N.Adderley). PENALTY on LAC-3-D.James, Face Mask, 15 yards, enforced at LAC 33."
58855,540,"(4:26) (Shotgun) PENALTY on BLT, Delay of Game, 5 yards, enforced at MIA 34 - No Play."
58855,587,"(3:28) (No Huddle, Shotgun) PENALTY on MIA, Defensive Too Many Men on Field, 5 yards, enforced at MIA 35 - No Play."
58855,610,"(3:03) (Shotgun) 8-L.Jackson pass short middle to 89-M.Andrews to MIA 14 for 16 yards (29-Br.Jones). Penalty on MIA-40-N.Needham, Defensive Holding, declined."
58855,692,"(1:21) (Shotgun) 17-K.Drake up the middle to MIA 9 for -5 yards (6-M.Ingram). PENALTY on MIA-6-M.Ingram, Face Mask, 2 yards, enforced at MIA 4 - No Play."
58855,1297,"(7:03) (Shotgun) 1-T.Tagovailoa pass incomplete short right to 2-C.Edmonds (14-K.Hamilton). Penalty on MIA-68-R.Hunt, Ineligible Downfield Pass, declined."
58855,1427,"(4:53) (Shotgun) 8-L.Jackson scrambles right end to MIA 31 for 19 yards (94-C.Wilkins). PENALTY on MIA-25-X.Howard, Defensive Holding, 5 yards, enforced at MIA 31."
58855,1873,"(:46) (Shotgun) 8-L.Jackson pass incomplete deep right to 13-D.Duvernay. PENALTY on MIA-6-M.Ingram, Defensive Offside, 5 yards, enforced at MIA 27 - No Play."
58855,2235,"(10:59) (Shotgun) 1-T.Tagovailoa pass short left to 10-T.Hill to BLT 24 for 15 yards (24-M.Peters). PENALTY on MIA-58-C.Williams, Illegal Block Above the Waist, 10 yards, enforced at BLT 39 - No Play."
58855,2294,"(9:46) (Shotgun) 1-T.Tagovailoa pass short right to 17-J.Waddle ran ob at BLT 24 for 11 yards. Penalty on BLT-99-O.Oweh, Defensive Offside, declined."
58855,2650,"(3:27) (Shotgun) 1-T.Tagovailoa scrambles up the middle to BLT 44 for 5 yards (40-M.Harrison). PENALTY on MIA-2-C.Edmonds, Tripping, 10 yards, enforced at BLT 49 - No Play."
58855,3365,"(7:47) (Shotgun) 8-L.Jackson pass incomplete deep middle to 80-I.Likely. PENALTY on MIA-28-K.Kohou, Defensive Holding, 5 yards, enforced at BLT 25 - No Play."
58855,3627,"(4:29) (Shotgun) 8-L.Jackson pass incomplete short left to 80-I.Likely. PENALTY on MIA-29-Br.Jones, Defensive Pass Interference, 9 yards, enforced at BLT 41 - No Play."
58855,3751,"(2:23) 9-J.Tucker 51 yard field goal is GOOD, Center-46-N.Moore, Holder-11-J.Stout. Penalty on MIA-20-J.Bethel, Defensive Offside, declined."
58856,622,"(3:36) (Shotgun) PENALTY on CLV-95-M.Garrett, Neutral Zone Infraction, 5 yards, enforced at NYJ 26 - No Play."
